userID,subscribers,videoviews,channeltype,grade,MonthlyEarnings,YearlyEarnings
Step Records,2898579,2596824880,Music,B+,€6K - €95.5K,€71.7K - €1.1M
LanaDelReyVEVO,5987892,2596720361,Music,B+,€6.5K - €104.7K,€78.5K - €1.3M
whitneyhoustonVEVO,2667361,2593604985,Music,B+,€10.8K - €172.9K,€129.6K - €2.1M
Lele Pons,13905151,2589446187,Comedy,A,€23.4K - €374.5K,€280.9K - €4.5M
Paulinho e Toquinho,4738195,2585984980,Entertainment,A-,€7.3K - €117K,€87.7K - €1.4M
Brave Wilderness,14124524,2565662561,Animals,B+,€6.2K - €99.8K,€74.8K - €1.2M
Lindsey Stirling,11540895,2553838661,Music,B+,€5.8K - €92.2K,€69.2K - €1.1M
SeaNanners Gaming Channel,5587698,2552980237,Games,B,€1K - €16.7K,€12.5K - €200.7K
LilWayneVEVO,4973538,2551346091,Music,B+,€7.5K - €120.3K,€90.2K - €1.4M
CrazyRussianHacker,11021311,2542397640,Tech,B+,€4.3K - €68.5K,€51.3K - €821.6K
?????,5296606,2538470642,Games,A,€28.9K - €462.7K,€347.1K - €5.6M
NMF News,6978941,2531999375,News,A,€37.5K - €599.5K,€449.6K - €7.2M
Arcadius Kul,2167469,2530502672,Entertainment,B,€2K - €31.5K,€23.6K - €378K
CaseyNeistat,11050039,2525258515,People,B+,€4.3K - €69.3K,€52K - €831.7K
Linus Tech Tips,8389435,2521487066,Tech,A-,€16.4K - €261.9K,€196.5K - €3.1M
Chris Smoove,4462617,2521465193,Sports,B+,€6.3K - €100.4K,€75.3K - €1.2M
Tasty,13348952,2520240029,People,A,€27K - €432.3K,€324.2K - €5.2M
Luan Santana,7844776,2518546990,Music,A-,€12.8K - €204.6K,€153.5K - €2.5M
Funny Stacy,8602353,2487617387,,A,€53.2K - €851.9K,€638.9K - €10.2M
Kuplinov ? Play,6657467,2486356202,Games,A-,€15K - €240.4K,€180.3K - €2.9M
TheGrefg,9847250,2485723602,Games,A,€23.9K - €382.7K,€287K - €4.6M
Busy Beavers - Kids Learn ABCs 123s…,2592635,2481784203,Education,B,€1.7K - €27.9K,€20.9K - €334.5K
Blossom,9813387,2481003945,Howto,A,€28.5K - €456.1K,€342.1K - €5.5M
KAYCEE & RACHEL in WONDERLAND,4471083,2478696515,Entertainment,A,€48.5K - €776.6K,€582.4K - €9.3M
PopArt Discos,2029142,2478609920,Music,A-,€13.7K - €218.5K,€163.9K - €2.6M
Flowers Comedy,3566640,2473854385,Entertainment,A,€35.6K - €569K,€426.7K - €6.8M
Cut,7903065,2473403650,Entertainment,A,€22.3K - €356K,€267K - €4.3M
The Voice Kids,4556658,2469274516,Entertainment,A-,€14.6K - €233.1K,€174.8K - €2.8M
Planeta das Gêmeas,10263106,2468927382,Entertainment,B+,€10.7K - €171.2K,€128.4K - €2.1M
ToysReviewToys,2297125,2468073051,Film,B+,€4K - €63.6K,€47.7K - €763.4K
Flo Rida,4384155,2465393522,Music,B+,€5.2K - €82.4K,€61.8K - €989K
Coisa de Nerd,9313151,2462155451,Tech,B+,€7.5K - €119.4K,€89.5K - €1.4M
Toys AndMe,10436184,2453750916,Entertainment,B+,€9K - €144.5K,€108.4K - €1.7M
Sony PAL,5073015,2449117106,Entertainment,A,€35K - €560.5K,€420.4K - €6.7M
BCC Trolling,9575472,2445745786,Games,A,€23.5K - €376.2K,€282.1K - €4.5M
SBS NOW,2468022,2445256491,Entertainment,A-,€14.3K - €229.6K,€172.2K - €2.8M
America's Got Talent,10175699,2437356145,Entertainment,A-,€15.8K - €253.3K,€190K - €3M
Mr. Gengar,3263559,2436844251,Entertainment,A+,€91K - €1.5M,€1.1M - €17.5M
MBC The Voice,4063647,2430605698,Entertainment,B+,€9.5K - €151.7K,€113.8K - €1.8M
Muselk,7656746,2430254805,Games,A,€18K - €287.7K,€215.7K - €3.5M
Anthony Ying,2479368,2422656572,Entertainment,A-,€10.9K - €174K,€130.5K - €2.1M
La Rosa de Guadalupe,6070957,2412614139,Entertainment,A,€35.7K - €571.9K,€428.9K - €6.9M
????BinMusic,2190496,2411904534,Music,B+,€5.6K - €88.8K,€66.6K - €1.1M
HTV Entertainment,4375953,2409398577,Entertainment,A-,€13.4K - €213.7K,€160.3K - €2.6M
Kodak Black,5297656,2409212452,Music,A,€20.8K - €333.1K,€249.8K - €4M
Cartoon Network UK,3272043,2405948252,Entertainment,A,€27.8K - €445.1K,€333.8K - €5.3M
CalibreCincuentaVEVO,3190389,2397607538,Music,A-,€14.4K - €231.1K,€173.3K - €2.8M
Movieclips Coming Soon,2320759,2396409921,Film,B+,€7.7K - €123.8K,€92.9K - €1.5M
Oddbods - Official Channel,3534622,2394135867,Film,A,€22.5K - €359.4K,€269.5K - €4.3M
KendrickLamarVEVO,7081637,2389027409,Music,B+,€7.8K - €124.7K,€93.5K - €1.5M
NhacPro Tube,4107724,2381894670,Music,B+,€9.6K - €153.1K,€114.8K - €1.8M
PlayToys,5578182,2376984568,Entertainment,B+,€25.9K - €414.2K,€310.6K - €5M
Yuya,23501019,2376565163,Howto,B,€1.9K - €29.7K,€22.3K - €356.3K
????? ???????? ?…,7930269,2375694635,People,A,€45.3K - €725.3K,€544K - €8.7M
NirvanaVEVO,3082261,2375608073,Music,B+,€9K - €143.7K,€107.8K - €1.7M
LazarBeam,9277149,2370094704,Games,A,€53.9K - €862.1K,€646.6K - €10.3M
TygaVEVO,3559312,2368121731,Music,A,€20.2K - €323.8K,€242.8K - €3.9M
PULCINO PIO,4053979,2365929739,Music,B+,€3.2K - €51K,€38.3K - €612.3K
??????,3812629,2363090777,Entertainment,A-,€13.9K - €223.1K,€167.3K - €2.7M
?ÔNG TÂY PROMOTION OFFICIAL,4164711,2355402527,Entertainment,B+,€10.5K - €168.8K,€126.6K - €2M
Family Playlab,3668359,2347200982,Entertainment,B+,€9.7K - €154.4K,€115.8K - €1.9M
DIEN QUAN Entertainment / Gi?i…,3401863,2344736693,Entertainment,A-,€7.5K - €119.9K,€89.9K - €1.4M
?? TV,2516608,2338649851,Games,B+,€5.3K - €85.3K,€64K - €1M
planbVEVO,2835016,2330485380,Music,B+,€3.6K - €57.1K,€42.8K - €685.3K
Julia MineGirl,4006517,2326014917,Games,A,€22.4K - €359.1K,€269.3K - €4.3M
????,2513593,2306769210,Games,A-,€11.2K - €178.7K,€134K - €2.1M
Monstercat: Uncaged,7286258,2303926940,Music,B+,€6K - €96.4K,€72.3K - €1.2M
PietSmiet,2324396,2297894750,Entertainment,B+,€4.4K - €71K,€53.3K - €852.6K
systemofadownVEVO,2906471,2297272485,Music,B+,€9.1K - €145.7K,€109.3K - €1.7M
Telefe,2833187,2296046397,Entertainment,A-,€14K - €224.1K,€168.1K - €2.7M
OYUNCAKOYNUYORUM,4568711,2295038311,Entertainment,A,€46.3K - €740.8K,€555.6K - €8.9M
